"kind","url","status","title","note","finalUrl"
"page","http://185.23.72.228/de/haberler/yeni-su-kuyusu-projesi-baslatildi","404","","HTTP hatasÄ±","http://185.23.72.228/de/haberler/yeni-su-kuyusu-projesi-baslatildi"
"page","http://185.23.72.228/de/hakkimizdabbbb","404","","HTTP hatasÄ±","http://185.23.72.228/de/hakkimizdabbbb"
"page","http://185.23.72.228/de/hediye-katalogu","200","Hediye Kataloğu - Dernek","","http://185.23.72.228/de/hediye-katalogu"
"page","http://185.23.72.228/de/iletisim","200","İletişim - Dernek","","http://185.23.72.228/de/iletisim"
"page","http://185.23.72.228/de/kayit","200","Giriş Yap / Üye Ol - Dernek","","http://185.23.72.228/de/kayit"
"page","http://185.23.72.228/de/kurban/2026-kurban","404","","HTTP hatasÄ±","http://185.23.72.228/de/kurban/2026-kurban"
"page","http://185.23.72.228/de/kvkk","200","KVKK Aydınlatma Metni - Dernek","","http://185.23.72.228/de/kvkk"
"page","http://185.23.72.228/de/medya","200","Medya Galerisi - Dernek","","http://185.23.72.228/de/medya"
"page","http://185.23.72.228/de/misyonumuz","404","","HTTP hatasÄ±","http://185.23.72.228/de/misyonumuz"
"page","http://185.23.72.228/de/projeler","200","Projeler - Dernek","","http://185.23.72.228/de/projeler"
"page","http://185.23.72.228/de/sepet","200","Bağış Sepeti - Dernek","","http://185.23.72.228/de/sepet"
"page","http://185.23.72.228/de/tr","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr"
"page","http://185.23.72.228/de/tr/bagis","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/bagis"
"page","http://185.23.72.228/de/tr/bagis-kategorileri","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/bagis-kategorileri"
"page","http://185.23.72.228/de/tr/bagis-kategorileri/egitim","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/bagis-kategorileri/egitim"
"page","http://185.23.72.228/de/tr/bagis-kategorileri/genel-bagis","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/bagis-kategorileri/genel-bagis"
"page","http://185.23.72.228/de/tr/bagis-kategorileri/insani-yardim","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/bagis-kategorileri/insani-yardim"
"page","http://185.23.72.228/de/tr/bagis-kategorileri/saglik","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/bagis-kategorileri/saglik"
"page","http://185.23.72.228/de/tr/canli-yayin","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/canli-yayin"
"page","http://185.23.72.228/de/tr/cerez-politikasi","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/cerez-politikasi"
"page","http://185.23.72.228/de/tr/etkinlikler","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/etkinlikler"
"page","http://185.23.72.228/de/tr/faaliyet-alanlari","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/faaliyet-alanlari"
"page","http://185.23.72.228/de/tr/fitre-hesaplayici","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/fitre-hesaplayici"
"page","http://185.23.72.228/de/tr/giris","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/giris"
"page","http://185.23.72.228/de/tr/gizlilik-politikasi","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/gizlilik-politikasi"
"page","http://185.23.72.228/de/tr/gonullu","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/gonullu"
"page","http://185.23.72.228/de/tr/haberler","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/haberler"
"page","http://185.23.72.228/de/tr/haberler/egitim-bursu-guncelleme","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/haberler/egitim-bursu-guncelleme"
"page","http://185.23.72.228/de/tr/haberler/kurban-bayrami-kampanyasi","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/haberler/kurban-bayrami-kampanyasi"
"page","http://185.23.72.228/de/tr/haberler/ramazan-kampanyasi-duyurusu","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/haberler/ramazan-kampanyasi-duyurusu"
"page","http://185.23.72.228/de/tr/haberler/yeni-su-kuyusu-projesi-baslatildi","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/haberler/yeni-su-kuyusu-projesi-baslatildi"
"page","http://185.23.72.228/de/tr/hakkimizdabbbb","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/hakkimizdabbbb"
"page","http://185.23.72.228/de/tr/hediye-katalogu","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/hediye-katalogu"
"page","http://185.23.72.228/de/tr/iletisim","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/iletisim"
"page","http://185.23.72.228/de/tr/kayit","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/kayit"
"page","http://185.23.72.228/de/tr/kurban/2026-kurban","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/kurban/2026-kurban"
"page","http://185.23.72.228/de/tr/kvkk","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/kvkk"
"page","http://185.23.72.228/de/tr/medya","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/medya"
"page","http://185.23.72.228/de/tr/misyonumuz","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/misyonumuz"
"page","http://185.23.72.228/de/tr/projeler","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/projeler"
"page","http://185.23.72.228/de/tr/sepet","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/sepet"
"page","http://185.23.72.228/de/tr/vizyonumuz","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/vizyonumuz"
"page","http://185.23.72.228/de/tr/zekat-hesaplayici","404","","HTTP hatasÄ±","http://185.23.72.228/de/tr/zekat-hesaplayici"
"page","http://185.23.72.228/de/vizyonumuz","404","","HTTP hatasÄ±","http://185.23.72.228/de/vizyonumuz"
"page","http://185.23.72.228/de/zekat-hesaplayici","200","Zekat Hesaplayıcı - Dernek","","http://185.23.72.228/de/zekat-hesaplayici"
"page","http://185.23.72.228/en","200","Dernek - Home Page","","http://185.23.72.228/en"
"page","http://185.23.72.228/en/about-us","200","About Us","","http://185.23.72.228/en/about-us"
"page","http://185.23.72.228/en/activity-areas","200","Activity Areas","","http://185.23.72.228/en/activity-areas"
"page","http://185.23.72.228/en/ar","404","","HTTP hatasÄ±","http://185.23.72.228/en/ar"
"page","http://185.23.72.228/en/bagis","200","Make a donation - Dernek","","http://185.23.72.228/en/bagis"
"page","http://185.23.72.228/en/bagis-kategorileri","200","Donation Categories - Dernek","","http://185.23.72.228/en/bagis-kategorileri"
"page","http://185.23.72.228/en/bagis-kategorileri/education","200","Education - Dernek","","http://185.23.72.228/en/bagis-kategorileri/education"
"page","http://185.23.72.228/en/bagis-kategorileri/egitim","404","","HTTP hatasÄ±","http://185.23.72.228/en/bagis-kategorileri/egitim"
"page","http://185.23.72.228/en/bagis-kategorileri/genel-bagis","404","","HTTP hatasÄ±","http://185.23.72.228/en/bagis-kategorileri/genel-bagis"
"page","http://185.23.72.228/en/bagis-kategorileri/general-donation","200","General Donation - Dernek","","http://185.23.72.228/en/bagis-kategorileri/general-donation"
"page","http://185.23.72.228/en/bagis-kategorileri/health","200","Health - Dernek","","http://185.23.72.228/en/bagis-kategorileri/health"
"page","http://185.23.72.228/en/bagis-kategorileri/humanitarian-aid","200","Humanitarian Aid - Dernek","","http://185.23.72.228/en/bagis-kategorileri/humanitarian-aid"
"page","http://185.23.72.228/en/bagis-kategorileri/insani-yardim","404","","HTTP hatasÄ±","http://185.23.72.228/en/bagis-kategorileri/insani-yardim"
"page","http://185.23.72.228/en/bagis-kategorileri/saglik","404","","HTTP hatasÄ±","http://185.23.72.228/en/bagis-kategorileri/saglik"
"page","http://185.23.72.228/en/canli-yayin","200","Live Broadcasts - Dernek","","http://185.23.72.228/en/canli-yayin"
"page","http://185.23.72.228/en/cerez-politikasi","200","Cookie Policy - Dernek","","http://185.23.72.228/en/cerez-politikasi"
"page","http://185.23.72.228/en/en","404","","HTTP hatasÄ±","http://185.23.72.228/en/en"
"page","http://185.23.72.228/en/etkinlikler","200","Events - Dernek","","http://185.23.72.228/en/etkinlikler"
"page","http://185.23.72.228/en/faaliyet-alanlari","404","","HTTP hatasÄ±","http://185.23.72.228/en/faaliyet-alanlari"
"page","http://185.23.72.228/en/fitre-hesaplayici","200","Fitre Calculator - Dernek","","http://185.23.72.228/en/fitre-hesaplayici"
"page","http://185.23.72.228/en/giris","200","Giriş Yap / Üye Ol - Dernek","","http://185.23.72.228/en/giris"
"page","http://185.23.72.228/en/gizlilik-politikasi","200","Privacy Policy - Dernek","","http://185.23.72.228/en/gizlilik-politikasi"
"page","http://185.23.72.228/en/gonullu","200","Volunteer - Dernek","","http://185.23.72.228/en/gonullu"
